#id: 3536693818
#name: H.sapiens - Brain (Integrated)
#score: 32.4
#coverage: 69
#description: integrated dataset: weighted average of all H.sapiens BRAIN: 32.4; Coverage: 69
#organ: BRAIN
#integrated: true
#weights: human_brain_Martens_2006_proteomics:0.251;PXD012101_Betz:0.251;PXD037133_brain_control:0.151;PXD012101_Purkinje:0.12;9606-PA_brain_201308:0.083;human_brain_atlas_201106:0.083;PXD020192_brain:0.031;PXD010154_Wang_Mol_Syst_Bio_2019_human_deep_proteome_Brain:0.016;human_brain_PA_2015-1:0.007;Fetal_Brain_Kim_2014_SEQUEST:0.007;
#publication_year: 2026
#filename: 9606-BRAIN-integrated.txt
#
#gene_name	string_external_id	abundance
PPT1	9606.ENSP00000493153	415
HSPA1B	9606.ENSP00000364801	413
POTEF	9606.ENSP00000386786	412
ACAT1	9606.ENSP00000265838	412
CLU	9606.ENSP00000315130	411
RAB14	9606.ENSP00000362946	411
MARCKSL1	9606.ENSP00000362638	408
RPL15	9606.ENSP00000309334	405
MLF2	9606.ENSP00000203630	403
CA1	9606.ENSP00000430656	402
RPL27	9606.ENSP00000464813	400
HSPA1A	9606.ENSP00000364802	400
GLO1	9606.ENSP00000362463	400
UQCRH	9606.ENSP00000309565	398
PPP3CA	9606.ENSP00000378323	397
NDUFA12	9606.ENSP00000330737	395
SCRN1	9606.ENSP00000388942	394
PFKM	9606.ENSP00000496597	394
ATP5MGL	9606.ENSP00000421076	392
PPIB	9606.ENSP00000300026	392
HPRT1	9606.ENSP00000298556	391
TAGLN	9606.ENSP00000376678	390
UQCR10	9606.ENSP00000332887	389
TUBAL3	9606.ENSP00000369784	389
PFKP	9606.ENSP00000370517	388
ALDH6A1	9606.ENSP00000450436	388
RAB2A	9606.ENSP00000262646	386
MT3	9606.ENSP00000200691	386
RPL38	9606.ENSP00000309830	384
RPS13	9606.ENSP00000435777	384
PALM	9606.ENSP00000341911	382
RPS20	9606.ENSP00000429374	380
RPS3	9606.ENSP00000278572	379
ATP6V0A1	9606.ENSP00000264649	379
NFASC	9606.ENSP00000344786	378
SOX4	9606.ENSP00000244745	378
HNRNPD	9606.ENSP00000313199	378
ETFA	9606.ENSP00000452762	376
CCT3	9606.ENSP00000295688	375
KRT6A	9606.ENSP00000369317	375
NDUFB10	9606.ENSP00000268668	374
RPL19	9606.ENSP00000225430	374
RTN4	9606.ENSP00000337838	374
NDUFV2	9606.ENSP00000327268	373
RPL21	9606.ENSP00000346027	373
RPL39	9606.ENSP00000355315	371
NCL	9606.ENSP00000318195	370
SUCLA2	9606.ENSP00000494360	370
LANCL1	9606.ENSP00000388713	370
DPYSL4	9606.ENSP00000339850	368
UBA1	9606.ENSP00000338413	367
SRI	9606.ENSP00000265729	367
SFXN1	9606.ENSP00000316905	366
OTUB1	9606.ENSP00000444357	363
RAN	9606.ENSP00000446215	362
CCT6A	9606.ENSP00000275603	361
MT-ATP6	9606.ENSP00000354632	359
RPL35	9606.ENSP00000259469	358
CNDP2	9606.ENSP00000325548	356
DLST	9606.ENSP00000335304	355
H2AC21	9606.ENSP00000332790	355
VAMP1	9606.ENSP00000379602	355
RPL27A	9606.ENSP00000346015	354
NDUFB6	9606.ENSP00000369176	353
SYNGR1	9606.ENSP00000332287	353
ACOT13	9606.ENSP00000230048	351
IGSF8	9606.ENSP00000357065	349
H2AC1	9606.ENSP00000297012	349
GDA	9606.ENSP00000238018	349
HADH	9606.ENSP00000474560	348
H4C6	9606.ENSP00000244537	348
H4C11	9606.ENSP00000347168	348
H4C2	9606.ENSP00000366974	348
H4C3	9606.ENSP00000367034	348
H4-16	9606.ENSP00000443017	348
H4C15	9606.ENSP00000462355	348
H4C14	9606.ENSP00000462667	348
H4C1	9606.ENSP00000479106	348
H4C4	9606.ENSP00000479461	348
H4C12	9606.ENSP00000479794	348
H4C13	9606.ENSP00000480960	348
H4C9	9606.ENSP00000481486	348
H4C5	9606.ENSP00000484789	348
H4C8	9606.ENSP00000489236	348
DNM3	9606.ENSP00000347457	347
MTCH2	9606.ENSP00000303222	346
ERP29	9606.ENSP00000261735	346
H1-4	9606.ENSP00000307705	344
RIDA	9606.ENSP00000254878	344
CACNG8	9606.ENSP00000270458	343
FBXO2	9606.ENSP00000346240	342
RPS28	9606.ENSP00000472469	341
GPX4	9606.ENSP00000346103	340
AP2A2	9606.ENSP00000327694	338
PSAP	9606.ENSP00000378394	338
GDAP1	9606.ENSP00000220822	337
TPM2	9606.ENSP00000496494	336
TRAP1	9606.ENSP00000246957	336
TPPP3	9606.ENSP00000462435	335
EZR	9606.ENSP00000338934	334
ACTR1A	9606.ENSP00000358921	332
COX6A1	9606.ENSP00000229379	331
RPS11	9606.ENSP00000270625	331
HBZ	9606.ENSP00000252951	331
CCT2	9606.ENSP00000299300	330
DES	9606.ENSP00000363071	330
NDUFA10	9606.ENSP00000252711	329
RAB35	9606.ENSP00000229340	329
RPS4X	9606.ENSP00000362744	328
MAP1LC3B	9606.ENSP00000498476	328
GNB4	9606.ENSP00000232564	328
CST3	9606.ENSP00000381448	326
RAB10	9606.ENSP00000264710	325
RPS6	9606.ENSP00000369757	325
RPL13A	9606.ENSP00000375730	324
H2BC17	9606.ENSP00000477527	324
H2BC21	9606.ENSP00000358151	324
H2BC3	9606.ENSP00000482674	324
ARPC2	9606.ENSP00000295685	324
H2BC11	9606.ENSP00000476136	324
RPLP1	9606.ENSP00000346037	324
SEPTIN2	9606.ENSP00000479861	322
RPS25	9606.ENSP00000435096	322
NDUFA6	9606.ENSP00000482543	320
RPS2	9606.ENSP00000341885	319
SH3GL1	9606.ENSP00000269886	318
TMSB10	9606.ENSP00000233143	316
HPCAL1	9606.ENSP00000483786	316
H2BU1	9606.ENSP00000479284	315
RAB3C	9606.ENSP00000282878	315
DNM1L	9606.ENSP00000449089	314
PITPNA	9606.ENSP00000316809	313
H2AC18	9606.ENSP00000358155	313
H2AC19	9606.ENSP00000475814	313
MAP6	9606.ENSP00000307093	313
H2AC20	9606.ENSP00000332194	313
MAP1LC3B2	9606.ENSP00000450524	312
CCT8	9606.ENSP00000286788	310
RPS7	9606.ENSP00000495273	310
SEC22B	9606.ENSP00000463393	310
RPS19	9606.ENSP00000470972	309
ST13	9606.ENSP00000216218	308
NDUFS6	9606.ENSP00000274137	308
MAPRE2	9606.ENSP00000300249	308
RPL34	9606.ENSP00000378163	307
FABP5	9606.ENSP00000297258	307
HSPA6	9606.ENSP00000310219	306
TF	9606.ENSP00000385834	306
AP2A1	9606.ENSP00000351926	305
GNAI3	9606.ENSP00000358867	305
GABARAPL2	9606.ENSP00000037243	304
EFHD2	9606.ENSP00000365147	304
SLC25A31	9606.ENSP00000281154	302
KRT6C	9606.ENSP00000252250	302
GLUD2	9606.ENSP00000327589	302
SERPINA1	9606.ENSP00000416066	301
PSAT1	9606.ENSP00000365773	301
SEPTIN6	9606.ENSP00000341524	300
GNG7	9606.ENSP00000371594	299
PGAM4	9606.ENSP00000412189	298
NDUFV1	9606.ENSP00000497587	298
H2BC9	9606.ENSP00000479169	298
H2BC4	9606.ENSP00000321744	298
H2BC7	9606.ENSP00000348924	298
H2BC10	9606.ENSP00000366962	298
H2BC8	9606.ENSP00000445633	298
H2BC6	9606.ENSP00000489317	298
H2BC5	9606.ENSP00000289316	298
H2BC15	9606.ENSP00000483903	298
H2BC14	9606.ENSP00000477907	298
H2BC13	9606.ENSP00000366618	298
H2BC12	9606.ENSP00000349430	298
H2BS1	9606.ENSP00000481622	298
LOC102724334	9606.ENSP00000491341	298
MAG	9606.ENSP00000376048	297
STIP1	9606.ENSP00000351646	296
RPS3A	9606.ENSP00000346050	296
RHOB	9606.ENSP00000272233	295
DYNLL2	9606.ENSP00000477310	295
GPM6B	9606.ENSP00000316861	294
HAPLN2	9606.ENSP00000255039	294
H2AX	9606.ENSP00000434024	293
RPL11	9606.ENSP00000496250	292
MAP1A	9606.ENSP00000300231	291
NIPSNAP2	9606.ENSP00000313050	291
RAP1A	9606.ENSP00000358723	291
AKR1B1	9606.ENSP00000285930	291
RPL14	9606.ENSP00000379506	291
RPS15A	9606.ENSP00000318646	290
ATP5MF	9606.ENSP00000292475	290
EIF5A	9606.ENSP00000336702	290
ACTR2	9606.ENSP00000367220	290
HADHA	9606.ENSP00000370023	288
MT-CO3	9606.ENSP00000354982	288
ATP1A4	9606.ENSP00000357060	288
ATP6V1F	9606.ENSP00000417378	286
ACTN1	9606.ENSP00000377941	286
RPS10	9606.ENSP00000481646	286
CCT5	9606.ENSP00000280326	286
NDUFA13	9606.ENSP00000423673	285
IDH3G	9606.ENSP00000217901	285
NDUFS4	9606.ENSP00000296684	284
RAB3D	9606.ENSP00000222120	283
GSTO1	9606.ENSP00000358727	283
NDUFS2	9606.ENSP00000356972	282
C1QBP	9606.ENSP00000225698	282
WDR1	9606.ENSP00000427687	281
GSTM2	9606.ENSP00000241337	281
H2BC18	9606.ENSP00000445831	280
ESD	9606.ENSP00000367992	279
EIF4A2	9606.ENSP00000326381	279
NNT	9606.ENSP00000264663	279
AP2S1	9606.ENSP00000470176	279
SUCLG1	9606.ENSP00000377446	279
MYL6	9606.ENSP00000446955	278
KRT77	9606.ENSP00000342710	277
PVALB	9606.ENSP00000216200	277
CAPNS1	9606.ENSP00000464849	277
LSAMP	9606.ENSP00000419000	275
H2AC6	9606.ENSP00000367022	275
RPS23	9606.ENSP00000296674	275
